ts_utc_iso,real_lat,real_lon,real_alt_m,spoof_lat,spoof_lon,spoof_alt_m
2025-10-18T15:42:20.569421+00:00Z,4.7397977161759056e-06,8.546175495586033e-07,0.0006053204536437989,47.39802150380137,8.546184163652617,1.10043532014787
2025-10-18T15:42:20.769399+00:00Z,4.739797738226603e-06,8.546176238635594e-07,0.0006042644381523132,47.39802126392787,8.546189116214244,1.0941904673395453
2025-10-18T15:42:20.969430+00:00Z,4.739797756923043e-06,8.546177127421919e-07,0.0006028140187263488,47.39802083991639,8.546193747486914,1.0862247111807763
2025-10-18T15:42:21.169460+00:00Z,4.739797770243892e-06,8.546178059325475e-07,0.000601510226726532,47.39802019452548,8.546198685241288,1.07611085168949
2025-10-18T15:42:21.369390+00:00Z,4.739797777051152e-06,8.546179068756376e-07,0.0005989481210708619,47.39801929131573,8.54620361307194,1.062706779603857
2025-10-18T15:42:21.569448+00:00Z,4.7397977824229216e-06,8.546179990028998e-07,0.000597192108631134,47.39801823474582,8.546208240719043,1.0485231416501888
2025-10-18T15:42:21.769321+00:00Z,4.739797780241052e-06,8.546181006964673e-07,0.0005948542356491089,47.398016903681146,8.546213093370659,1.0307303139649697
2025-10-18T15:42:21.969559+00:00Z,4.739797775127785e-06,8.546182030816471e-07,0.0005930859446525574,47.398015458466695,8.546217494079624,1.0132425889452392
2025-10-18T15:42:22.169688+00:00Z,4.739797764791515e-06,8.546183160340579e-07,0.0005896413326263428,47.398013746307875,8.546222096939859,0.9928194684602003
2025-10-18T15:42:22.371585+00:00Z,4.7397977485305855e-06,8.54618432935494e-07,0.0005854986310005188,47.398011911931796,8.546226317120137,0.9702187427585656
2025-10-18T15:42:22.569957+00:00Z,4.739797728180708e-06,8.546185370794556e-07,0.0005822258591651917,47.39800984669124,8.546230582278389,0.9453862587401385
2025-10-18T15:42:22.769441+00:00Z,4.739797697891833e-06,8.546186645060228e-07,0.0005774130821228027,47.39800761727177,8.546234625574575,0.9189730369664726
2025-10-18T15:42:22.969261+00:00Z,4.739797668447193e-06,8.546187674197043e-07,0.0005741418600082398,47.39800515811357,8.546238537038494,0.8911199657381748
2025-10-18T15:42:23.169354+00:00Z,4.739797633019018e-06,8.546188830428095e-07,0.000569086492061615,47.3980026546866,8.546242130699122,0.86269294278705
2025-10-18T15:42:23.370331+00:00Z,4.739797591426162e-06,8.546189957403136e-07,0.000564919114112854,47.3979998707136,8.54624565154089,0.8311294444741026
2025-10-18T15:42:23.569385+00:00Z,4.739797544827271e-06,8.54619103363809e-07,0.0005609046816825867,47.3979969703566,8.546248862792288,0.7998221433980972
2025-10-18T15:42:23.769418+00:00Z,4.7397974966194625e-06,8.546192050008942e-07,0.0005566938519477844,47.39799397884558,8.546251760933059,0.7677840105644391
2025-10-18T15:42:23.969379+00:00Z,4.739797443525191e-06,8.54619304831861e-07,0.0005510820150375366,47.39799088368955,8.546254380845069,0.7343558929088884
2025-10-18T15:42:24.169419+00:00Z,4.739797386828215e-06,8.546194015233136e-07,0.000545421063899994,47.39798764116484,8.546256756761501,0.6982641546493289
2025-10-18T15:42:24.369386+00:00Z,4.7397973243771e-06,8.546194930873881e-07,0.0005402394533157349,47.397984310270644,8.546258837154161,0.6625440541278131
2025-10-18T15:42:24.571029+00:00Z,4.739797260554833e-06,8.546195797430556e-07,0.0005342493653297425,47.39798087331316,8.546260613590428,0.6256738095350717
2025-10-18T15:42:24.769387+00:00Z,4.739797187301624e-06,8.546196688104328e-07,0.0005267300605773926,47.39797741477793,8.546262071214842,0.5881858515481356
2025-10-18T15:42:24.969419+00:00Z,4.739797123808332e-06,8.546197371915418e-07,0.0005202977657318115,47.39797420193048,8.546263159785584,0.5531543936268232
2025-10-18T15:42:25.169395+00:00Z,4.739797055306383e-06,8.546198080199424e-07,0.0005114916563034058,47.39797420193048,8.546263159785584,0.5531543936268232
2025-10-18T15:42:25.369408+00:00Z,4.739797010920333e-06,8.546198548706805e-07,0.0005035790801048279,47.39797420193048,8.546263159785584,0.5531543936268232
2025-10-18T15:42:25.569888+00:00Z,4.739796988838427e-06,8.546198805738731e-07,0.0004976216852664948,47.39797420193048,8.546263159785584,0.5531543936268232
2025-10-18T15:42:25.769549+00:00Z,4.739796979051276e-06,8.546198943445978e-07,0.000491032898426056,47.39797420193048,8.546263159785584,0.5531543936268232
2025-10-18T15:42:25.969359+00:00Z,4.739796977577823e-06,8.546198973492963e-07,0.0004835677146911621,47.39797420193048,8.546263159785584,0.5531543936268232
2025-10-18T15:42:26.169403+00:00Z,4.7397969808592365e-06,8.546198937991418e-07,0.0004766963720321655,47.39797420193048,8.546263159785584,0.5531543936268232
2025-10-18T15:42:26.369394+00:00Z,4.739796986336988e-06,8.546198868452635e-07,0.00047069028019905093,47.39797420193048,8.546263159785584,0.5531543936268232
2025-10-18T15:42:26.570454+00:00Z,4.739796991798092e-06,8.546198777380665e-07,0.0004651130735874176,47.39797420193048,8.546263159785584,0.5531543936268232
2025-10-18T15:42:26.769385+00:00Z,4.739796997320541e-06,8.546198654617891e-07,0.0004576401710510254,47.39797420193048,8.546263159785584,0.5531543936268232
2025-10-18T15:42:26.969370+00:00Z,4.73979700192364e-06,8.546198523422044e-07,0.00045135802030563354,47.39797420193048,8.546263159785584,0.5531543936268232
2025-10-18T15:42:27.169386+00:00Z,4.739797005187844e-06,8.546198397721498e-07,0.0004460461437702179,47.39797420193048,8.546263159785584,0.5531543936268232
2025-10-18T15:42:27.369365+00:00Z,4.739797009869051e-06,8.546198281138004e-07,0.00044220227003097533,47.39797420193048,8.546263159785584,0.5531543936268232
2025-10-18T15:42:27.569459+00:00Z,4.739797015532819e-06,8.546198203704455e-07,0.00043770188093185424,47.39797420193048,8.546263159785584,0.5531543936268232
2025-10-18T15:42:27.771484+00:00Z,4.739797021980791e-06,8.54619814180538e-07,0.0004343164563179016,47.39797420193048,8.546263159785584,0.5531543936268232
2025-10-18T15:42:27.969384+00:00Z,4.73979702937351e-06,8.546198072520955e-07,0.00043199855089187623,47.39797420193048,8.546263159785584,0.5531543936268232
2025-10-18T15:42:28.169357+00:00Z,4.7397970356390096e-06,8.546198013545815e-07,0.00042901197075843813,47.39797420193048,8.546263159785584,0.5531543936268232
