ts_utc_iso,real_lat,real_lon,real_alt_m,spoof_lat,spoof_lon,spoof_alt_m
2025-10-18T15:12:51.790275+00:00Z,4.739799611841268e-06,8.546230738529605e-07,0.0002668893337249756,,,
2025-10-18T15:12:51.990307+00:00Z,4.739799615239085e-06,8.546230718287498e-07,0.0002698419690132141,,,
2025-10-18T15:12:52.190279+00:00Z,4.7397996185988735e-06,8.546230701546874e-07,0.0002705848813056946,,,
2025-10-18T15:12:52.390323+00:00Z,4.739799620482015e-06,8.546230663531491e-07,0.00026893773674964904,,,
2025-10-18T15:12:52.590310+00:00Z,4.739799621987146e-06,8.546230611861908e-07,0.000266124963760376,,,
2025-10-18T15:12:52.790296+00:00Z,4.7397996247057405e-06,8.54623056834022e-07,0.0002638968527317047,,,
2025-10-18T15:12:52.990378+00:00Z,4.739799628229252e-06,8.546230550673052e-07,0.00026269376277923587,,,
2025-10-18T15:12:53.190445+00:00Z,4.73979963228533e-06,8.546230558112468e-07,0.0002629903256893158,,,
2025-10-18T15:12:53.390230+00:00Z,4.739799634810449e-06,8.546230572164334e-07,0.00026272237300872803,,,
2025-10-18T15:12:53.590369+00:00Z,4.739799633672018e-06,8.546230589838624e-07,0.00026150864362716673,,,
2025-10-18T15:12:53.790301+00:00Z,4.739799631037785e-06,8.546230574913398e-07,0.0002606867253780365,,,
2025-10-18T15:12:53.991384+00:00Z,4.7397996294802585e-06,8.546230542006914e-07,0.00025894564390182493,,,
2025-10-18T15:12:54.190287+00:00Z,4.739799626644621e-06,8.546230508467134e-07,0.00025467690825462343,,,
2025-10-18T15:12:54.390364+00:00Z,4.739799622818545e-06,8.546230479553829e-07,0.00024983346462249757,,,
2025-10-18T15:12:54.590325+00:00Z,4.739799620684241e-06,8.546230452525911e-07,0.00024339395761489868,,,
2025-10-18T15:12:54.793590+00:00Z,4.739799619904237e-06,8.546230430046565e-07,0.00023558813333511352,,,
2025-10-18T15:12:54.990269+00:00Z,4.739799617556744e-06,8.546230420849879e-07,0.00022869761288166047,,,
2025-10-18T15:12:55.190286+00:00Z,4.73979961469899e-06,8.546230430381526e-07,0.0002240995317697525,,,
2025-10-18T15:12:55.390344+00:00Z,4.7397996133861065e-06,8.546230437802516e-07,0.00022186176478862762,,,
2025-10-18T15:12:55.590289+00:00Z,4.739799613869376e-06,8.546230446133757e-07,0.0002212633490562439,,,
2025-10-18T15:12:55.790302+00:00Z,4.739799615541201e-06,8.54623045716763e-07,0.00022192193567752838,,,
